municipality_code,appartement_avg_price_m2,appartement_med_size_m2,avg_net_salary,avg_price_m2,establishments_importance,house_avg_price_m2,house_med_size_m2,med_size_m2,n_appartement,n_house,n_sales,nb_second_home,nb_tot_housing,nb_vacants_housing,population,population_growth,total_amount,total_amount_appartement,total_amount_house,city_name_normalized,department_name,latitude,longitude
79191,2327.5925297113754,50.0,29337.645059841481,2100.5809210526318,1.0622427377498993,1956.9613319011814,86.016096579476866,72.990392528116573,589.0,931.0,1520.0,958,34516,2980,59193.0,0.22689175231547232,239064917.8,67492164.79,171572753.01,Niort,Deux-Sèvres,46.328260242,-0.465353019369
76540,2904.8634271099745,48.0059880239521,27474.8930842295,2919.952080706179,1.6489947698660254,2989.5235849056603,86.997248437262982,54.986338797814206,1955.0,424.0,2379.0,1854,72827,7805,112321.0,0.86296695402299228,405739475.26,284210948.53,121528526.73,Rouen,Seine-Maritime,49.4413460103,1.09256784278
85191,2307.5111524163567,55.001947196618232,24525.709714620658,2288.9173838209981,0.401039784348259,2272.8862179487178,91.49897317836249,73.500904611594422,538.0,624.0,1162.0,691,29976,1550,55147.0,0.69568710513823184,202523684.04,65520947.99,137002736.05,Roche Sur Yon,Vendée,46.6675261644,-1.4077954093
56260,3584.5265104808877,50.0,26736.371895571523,3756.5114309906858,1.3368640590422958,4133.483783783784,111.50222892911957,64.002599090318384,811.0,370.0,1181.0,2351,34046,2971,53719.0,0.52584303304763491,334540940.56,151354226.36,183186714.2,Vannes,Morbihan,47.6597493766,-2.75714329498
35238,3771.952584975721,61.991869918699187,27612.64983343576,4018.128154864004,2.6877277599702181,5504.0948275862065,100.0,64.005412719891751,3501.0,580.0,4081.0,4781,127635,8245,220488.0,1.2676366843033415,1076705398.02,747973785.72,328731612.3,Rennes,Ille-Et-Vilaine,48.1119791219,-1.68186449144
91228,2335.2204968944097,66.991473812423877,24560.630097960497,2448.9133165829144,0.52455418589682845,2930.6118421052633,91.012730834648181,70.012688425317634,644.0,152.0,796.0,546,27627,1557,66851.0,-0.41709493378617735,135048896.22,93395494.22,41653402.0,Evry Courcouronnes,Essonne,48.6294831659,2.44008244492
59009,3908.2921348314608,34.004352557127312,29169.76220436224,3641.7939914163089,0.645743093727629,3398.2792607802876,99.009900990099013,74.9963524948935,445.0,487.0,932.0,554,28658,1243,61957.0,-1.2275415690213176,247327277.1,64821614.5,182505662.6,Villeneuve D Ascq,Nord,50.6324372393,3.1535257221
54395,2471.8399657680789,58.005319148936174,27551.149070695428,2519.2453775038521,1.6697550268815005,2946.9922779922781,103.01109350237718,62.010443864229764,2337.0,259.0,2596.0,2962,69866,7887,105058.0,0.16494255613290765,445712539.48,355018219.68,90694319.8,Nancy,Meurthe-Et-Moselle,48.6901995499,6.17588254434
06027,4575.0135135135133,53.0044734724717,27964.47404028806,4850.95067264574,0.22,6194.3289473684208,90.000978282136572,57.000106224771613,1110.0,228.0,1338.0,4941,31903,1769,52178.0,1.4918986209176976,400993924.7,269580714.6,131413210.1,Cagnes Sur Mer,Alpes-Maritimes,43.6715162078,7.15275703379
50129,2401.5962566844919,52.99885210506703,26904.370787910619,2279.8747474747474,1.3933414060368718,2205.9724025974024,89.004011027838317,75.019671872839467,374.0,616.0,990.0,1567,43228,3127,78549.0,-0.75179419791772117,174355204.4,49230614.12,125124590.28,Cherbourg En Cotentin,Manche,49.633412156,-1.63390160204
13001,4981.2481651376147,55.001438697332887,32145.168030821846,5471.7073590096288,3.1213580245031691,6940.39010989011,122.98361055623764,65.993788819875775,2180.0,728.0,2908.0,4986,84308,7934,145133.0,1.4228111001628241,1360724035.35,603317296.32,757406739.03,Aix En Provence,Bouches-Du-Rhône,43.5360708378,5.39857444582
34032,2031.9875491480996,57.994982853187629,22659.467514390977,2049.6674249317562,0.85463311484789639,2089.8154761904761,91.989129703765855,68.008327550312288,1526.0,672.0,2198.0,2025,45943,7587,78308.0,0.91367156793258353,334275788.88,187816536.82,146459252.06,Beziers,Hérault,43.3475883319,3.23076754164
64445,2112.3027975863961,58.994197292069636,27170.371596768764,2173.8465882352939,1.561373336511978,2545.3509933774835,110.00882817487609,64.988662131519277,1823.0,302.0,2125.0,1473,53028,8889,75627.0,-0.84955752212388935,322695241.58,231458947.65,91236293.93,Pau,Pyrénées-Atlantiques,43.3200189773,-0.350337918181
92044,10295.518292682927,49.000803130331995,50248.507384124685,10300.639826839826,0.37300880850896734,11140.571428571429,97.998040039199211,49.001130795326048,1148.0,7.0,1155.0,1269,35638,2723,66082.0,0.40263153896409332,649896570.18,641044672.18,8851898.0,Levallois Perret,Hauts-De-Seine,48.895071672,2.28688268127
06029,5532.3034326424868,56.499793841178956,26269.000330704039,5660.7168894289189,2.9997603636694414,7604.5441176470586,130.99939246658568,58.00599449149162,3088.0,204.0,3292.0,32423,71849,1667,74545.0,0.78415466774826026,1349043012.04,1048225166.44,300817845.6,Cannes,Alpes-Maritimes,43.5526202843,7.00427592728
92063,6065.3627002288331,62.0,50090.76817637292,6894.8036154478223,0.59939131236048682,9008.30612244898,115.00193823491408,68.00152482607453,874.0,343.0,1217.0,726,36571,2512,78317.0,0.4244351550278358,721783913.48,332049159.0,389734754.48,Rueil Malmaison,Hauts-De-Seine,48.8691897371,2.1773406315
91377,4001.8814432989689,63.99499934996598,32052.770995343282,4176.8310911808667,0.58661658151837859,5347.1839080459768,85.001516530178947,64.990328820116048,582.0,87.0,669.0,497,23563,939,50644.0,0.023700426607686786,182063021.77,144410124.87,37652896.9,Massy,Essonne,48.7277896426,2.27513131903
76351,2305.8043382027445,56.985294117647058,26549.872892685507,2365.3559270516716,1.3533494977067022,2495.8380213385062,80.013063357282817,64.995953467881279,2259.0,1031.0,3290.0,1998,93085,9839,168290.0,-0.85015877878785728,521670038.07,305310876.41,216359161.66,Havre,Seine-Maritime,49.498452502,0.140153719153
45234,2655.634214969049,55.0,26742.706799497959,2675.8651919866443,1.5360970263715972,2733.9434571890147,99.980563654033048,65.989847715736047,1777.0,619.0,2396.0,1949,66188,6758,116269.0,0.026669419639024916,448782775.72,263372342.88,185410432.84,Orleans,Loiret,47.8828634214,1.91610357477
26362,2256.1384758364311,63.008418179357221,25322.370539517869,2372.80174291939,1.2063781927665009,2789.8438538205978,98.005502063273724,69.003285870755747,1076.0,301.0,1377.0,1245,37825,4779,64749.0,0.0355344065753993,238565833.45,150955915.22,87609918.23,Valence,Drôme,44.9229811667,4.91444013136
17300,4945.5832649712884,48.003657421517829,25792.507236794121,4752.8999481596684,2.2520858404786455,4422.0816901408452,89.9991117427607,64.998375040623984,1219.0,710.0,1929.0,6320,52582,3474,77205.0,1.4333762514123549,604213149.58,311986469.92,292226679.66,Rochelle,Charente-Maritime,46.1620643972,-1.17465702836
