municipality_code,population,population_growth,avg_net_salary,nb_second_home,vacants_housing_rate,nb_tot_housing,nb_vacants_housing,rental_max_all,rental_min_all,rental_med_all,rental_max_house,rental_min_house,rental_med_house,rental_max_apartment,rental_min_apartment,establishments_importance,sites_importance,n_sales,total_amount,avg_price_m2,med_size_m2,n_house,total_amount_house,house_avg_price_m2,house_med_size_m2,n_appartement,total_amount_appartement,appartement_avg_price_m2,appartement_med_size_m2
60057,57071.0,0.8232488296086915,24610.4520274633,323,0.09894899644978734,28449,2815,18.32,8.4,12.12,15.85,8.66,12.13,19.57,8.26,0.7240557914688875,0.7779006643627665,819.0,129624963.71,2067.807081807082,67.99230275817833,349.0,74586586.0,2318.378223495702,85.97748208802456,470.0,55038377.71,1881.7446808510638,61.01603397151956
62193,72509.0,-0.575902590190458,23226.60986521876,650,0.10182391851872354,36131,3679,15.48,7.2,10.21,13.61,7.27,9.97,17.45,7.12,0.9973198972674224,0.9528231931214373,1353.0,187679961.5,2004.7642276422764,75.0,805.0,108401353.5,1552.6608695652174,84.0,548.0,79278608.0,2668.894160583942,52.99260131899837
63113,147865.0,0.7707825043957062,26123.51247469909,3406,0.07968207320331283,89832,7158,18.04,7.87,11.28,13.83,6.84,10.4,18.93,8.09,2.565284688514261,2.43967449395111,1439.0,214823568.17,2367.1570535093815,64.99356499356499,223.0,51981796.0,2638.0224215246635,85.995085995086,1216.0,162841772.17,2317.4835526315787,61.01341802200882
64102,51894.0,0.9394876582832445,24342.245694591547,1359,0.06403225806451612,31000,1985,21.71,9.46,13.55,21.07,9.15,15.15,21.82,9.51,1.1754768645662839,1.4323527988109932,1287.0,365940005.73,4259.474747474747,61.99581714968629,121.0,78400948.25,5285.396694214876,109.99803574936162,1166.0,287539057.48,4153.01114922813,59.99259014658307
64445,75627.0,-0.8495575221238894,27170.371596768764,1473,0.16762842272007242,53028,8889,17.9,7.56,11.24,16.87,8.6,12.23,18.13,7.32,1.561373336511978,1.2573976547816503,2125.0,322695241.58,2173.846588235294,64.98866213151928,302.0,91236293.93,2545.3509933774835,110.00882817487609,1823.0,231458947.65,2112.302797586396,58.994197292069636
66136,119344.0,0.1308856596301533,23060.948584392452,2591,0.15609245433758506,72598,11332,16.38,7.26,10.6,12.44,7.01,9.63,17.93,7.36,1.6983885567625003,2.053431969404419,1504.0,219533283.01,1847.2672872340424,69.97936116122567,399.0,102580100.86,2180.6065162907266,100.0,1105.0,116953182.15,1726.9031674208145,61.00352112676056
69256,52795.0,3.8801330106447818,22656.79159910421,114,0.0735233374638579,19368,1424,20.14,9.86,13.46,18.69,11.93,15.21,20.52,9.3,0.0651665570366963,0.8265070496648291,500.0,91964947.43,2839.564,65.98984771573605,96.0,29781261.0,3797.9479166666665,85.9911606260507,404.0,62183686.43,2611.829207920792,63.49929849419348
69259,67285.0,0.23238838653933946,22807.319315213525,296,0.06478491823768358,28803,1866,21.32,10.96,14.72,19.37,11.41,14.59,21.7,10.88,0.18058003603173628,0.3021613956750635,656.0,134571708.25,3002.942073170732,67.00487816466973,116.0,40190398.0,3849.1206896551726,90.0,540.0,94381310.25,2821.17037037037,64.98814999522631
69266,152212.0,1.0308046648391356,26725.86837795529,2809,0.0840150290116998,84104,7066,22.49,11.51,15.35,18.39,11.52,14.47,22.75,11.51,0.44838564315571683,0.750211439456374,2827.0,704734228.73,4104.403608065087,62.99694189602447,181.0,87812490.59,5526.303867403315,88.99436369029961,2646.0,616921738.14,4007.138321995465,61.501068206941696
72181,143847.0,0.41535196716275813,26381.032305300578,2333,0.10076956584870043,82644,8328,14.85,6.79,9.83,12.01,6.05,8.94,16.92,7.33,2.2972175681562077,2.16224138606697,3254.0,485781095.87,1971.1730178242165,68.99350649350649,1506.0,309810823.71,2152.285524568393,86.01913380859551,1748.0,175970272.16,1815.1344393592678,55.98596227708241
